origin,destination,carrier_code,carrier_name,flight_num,travel_date,advance_purchase_days,fare_class,base_fare,taxes_and_fees,total_fare,fare_split_estimated,departure_time,status,scraped_at,capture_run,source,source_name
DEL,BOM,SG,SpiceJet,SG 802,2026-09-01,1,economy,,,6447.0,False,22:30,ok,2026-08-31T11:01:31.854977+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
DEL,BOM,SG,SpiceJet,SG 802,2026-09-01,1,economy,,,6867.0,False,22:30,ok,2026-08-31T11:01:31.854977+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
DEL,BOM,SG,SpiceJet,SG 802,2026-09-01,1,business,,,7759.0,False,22:30,ok,2026-08-31T11:01:31.854977+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
DEL,BLR,SG,SpiceJet,unknown,2026-09-01,1,unknown,,,,False,unknown,no_flights,2026-08-31T11:02:30.209906+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
BOM,BLR,SG,SpiceJet,unknown,2026-09-01,1,unknown,,,,False,unknown,no_flights,2026-08-31T11:03:23.483273+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
DEL,CCU,SG,SpiceJet,unknown,2026-09-01,1,unknown,,,,False,unknown,no_flights,2026-08-31T11:04:24.965537+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
BLR,HYD,SG,SpiceJet,unknown,2026-09-01,1,unknown,,,,False,unknown,no_flights,2026-08-31T11:05:22.184784+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
MAA,DEL,SG,SpiceJet,unknown,2026-09-01,1,unknown,,,,False,unknown,no_flights,2026-08-31T11:06:13.247983+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
DEL,BOM,SG,SpiceJet,SG 162,2026-09-07,7,economy,,,6976.0,False,19:55,ok,2026-08-31T11:07:14.167203+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
DEL,BOM,SG,SpiceJet,SG 162,2026-09-07,7,economy,,,7396.0,False,19:55,ok,2026-08-31T11:07:14.167203+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
DEL,BOM,SG,SpiceJet,SG 162,2026-09-07,7,business,,,8288.0,False,19:55,ok,2026-08-31T11:07:14.167203+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
DEL,BOM,SG,SpiceJet,SG 802,2026-09-07,7,economy,,,7085.0,False,22:30,ok,2026-08-31T11:07:14.167203+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
DEL,BOM,SG,SpiceJet,SG 802,2026-09-07,7,economy,,,7505.0,False,22:30,ok,2026-08-31T11:07:14.167203+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
DEL,BOM,SG,SpiceJet,SG 802,2026-09-07,7,business,,,8397.0,False,22:30,ok,2026-08-31T11:07:14.167203+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
DEL,BLR,SG,SpiceJet,unknown,2026-09-07,7,unknown,,,,False,unknown,no_flights,2026-08-31T11:08:06.517307+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
BOM,BLR,SG,SpiceJet,unknown,2026-09-07,7,unknown,,,,False,unknown,no_flights,2026-08-31T11:08:56.468002+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
DEL,CCU,SG,SpiceJet,SG 905,2026-09-07,7,economy,,,7693.0,False,20:10,ok,2026-08-31T11:09:58.190549+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
DEL,CCU,SG,SpiceJet,SG 905,2026-09-07,7,economy,,,8113.0,False,20:10,ok,2026-08-31T11:09:58.190549+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
DEL,CCU,SG,SpiceJet,SG 905,2026-09-07,7,business,,,9005.0,False,20:10,ok,2026-08-31T11:09:58.190549+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
BLR,HYD,SG,SpiceJet,unknown,2026-09-07,7,unknown,,,,False,unknown,no_flights,2026-08-31T11:11:00.058754+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
MAA,DEL,SG,SpiceJet,unknown,2026-09-07,7,unknown,,,,False,unknown,no_flights,2026-08-31T11:11:53.112490+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
DEL,BOM,SG,SpiceJet,SG 162,2026-09-15,15,economy,,,6976.0,False,19:55,ok,2026-08-31T11:12:42.196469+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
DEL,BOM,SG,SpiceJet,SG 162,2026-09-15,15,economy,,,7396.0,False,19:55,ok,2026-08-31T11:12:42.196469+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
DEL,BOM,SG,SpiceJet,SG 162,2026-09-15,15,business,,,8288.0,False,19:55,ok,2026-08-31T11:12:42.196469+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
DEL,BOM,SG,SpiceJet,SG 802,2026-09-15,15,economy,,,7085.0,False,22:30,ok,2026-08-31T11:12:42.196469+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
DEL,BOM,SG,SpiceJet,SG 802,2026-09-15,15,economy,,,7505.0,False,22:30,ok,2026-08-31T11:12:42.196469+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
DEL,BOM,SG,SpiceJet,SG 802,2026-09-15,15,business,,,8397.0,False,22:30,ok,2026-08-31T11:12:42.196469+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
DEL,BLR,SG,SpiceJet,unknown,2026-09-15,15,unknown,,,,False,unknown,no_flights,2026-08-31T11:13:36.593090+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
BOM,BLR,SG,SpiceJet,unknown,2026-09-15,15,unknown,,,,False,unknown,no_flights,2026-08-31T11:14:37.923753+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
DEL,CCU,SG,SpiceJet,SG 905,2026-09-15,15,economy,,,7553.0,False,20:10,ok,2026-08-31T11:15:29.306289+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
DEL,CCU,SG,SpiceJet,SG 905,2026-09-15,15,economy,,,7973.0,False,20:10,ok,2026-08-31T11:15:29.306289+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
DEL,CCU,SG,SpiceJet,SG 905,2026-09-15,15,business,,,8865.0,False,20:10,ok,2026-08-31T11:15:29.306289+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
BLR,HYD,SG,SpiceJet,unknown,2026-09-15,15,unknown,,,,False,unknown,no_flights,2026-08-31T11:16:19.394071+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
MAA,DEL,SG,SpiceJet,unknown,2026-09-15,15,unknown,,,,False,unknown,no_flights,2026-08-31T11:17:18.105459+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
DEL,BOM,SG,SpiceJet,SG 9091,2026-09-30,30,economy,,,6341.0,False,05:30,ok,2026-08-31T11:18:09.112265+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
DEL,BOM,SG,SpiceJet,SG 9091,2026-09-30,30,economy,,,6761.0,False,05:30,ok,2026-08-31T11:18:09.112265+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
DEL,BOM,SG,SpiceJet,SG 9091,2026-09-30,30,business,,,7653.0,False,05:30,ok,2026-08-31T11:18:09.112265+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
DEL,BOM,SG,SpiceJet,SG 802,2026-09-30,30,economy,,,7469.0,False,22:30,ok,2026-08-31T11:18:09.112265+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
DEL,BOM,SG,SpiceJet,SG 802,2026-09-30,30,economy,,,7889.0,False,22:30,ok,2026-08-31T11:18:09.112265+00:00,2026-08-31_1631IST,airline_direct,SpiceJet
