origin,destination,carrier_code,carrier_name,flight_num,travel_date,advance_purchase_days,fare_class,base_fare,taxes_and_fees,total_fare,fare_split_estimated,departure_time,status,scraped_at,capture_run
DEL,BOM,QP,Akasa Air,error,2026-09-02,1,economy,,,,false,unknown,error,2026-09-01T11:43:59.308769+05:30,2026-09-01_1143IST
DEL,BLR,QP,Akasa Air,error,2026-09-02,1,economy,,,,false,unknown,error,2026-09-01T11:44:59.092107+05:30,2026-09-01_1144IST
BOM,BLR,QP,Akasa Air,error,2026-09-02,1,economy,,,,false,unknown,error,2026-09-01T11:46:00.636856+05:30,2026-09-01_1146IST
DEL,CCU,QP,Akasa Air,error,2026-09-02,1,economy,,,,false,unknown,error,2026-09-01T11:46:58.884761+05:30,2026-09-01_1146IST
BLR,HYD,QP,Akasa Air,error,2026-09-02,1,economy,,,,false,unknown,error,2026-09-01T11:47:52.674388+05:30,2026-09-01_1147IST
MAA,DEL,QP,Akasa Air,error,2026-09-02,1,economy,,,,false,unknown,error,2026-09-01T11:48:50.286332+05:30,2026-09-01_1148IST
DEL,BOM,QP,Akasa Air,error,2026-09-08,7,economy,,,,false,unknown,error,2026-09-01T11:49:46.611846+05:30,2026-09-01_1149IST
DEL,BLR,QP,Akasa Air,error,2026-09-08,7,economy,,,,false,unknown,error,2026-09-01T11:50:51.371082+05:30,2026-09-01_1150IST
BOM,BLR,QP,Akasa Air,error,2026-09-08,7,economy,,,,false,unknown,error,2026-09-01T11:51:47.653234+05:30,2026-09-01_1151IST
DEL,CCU,QP,Akasa Air,error,2026-09-08,7,economy,,,,false,unknown,error,2026-09-01T11:52:40.376238+05:30,2026-09-01_1152IST
BLR,HYD,QP,Akasa Air,error,2026-09-08,7,economy,,,,false,unknown,error,2026-09-01T11:53:38.175495+05:30,2026-09-01_1153IST
MAA,DEL,QP,Akasa Air,error,2026-09-08,7,economy,,,,false,unknown,error,2026-09-01T11:54:30.093643+05:30,2026-09-01_1154IST
DEL,BOM,QP,Akasa Air,error,2026-09-16,15,economy,,,,false,unknown,error,2026-09-01T11:55:21.631843+05:30,2026-09-01_1155IST
DEL,BLR,QP,Akasa Air,error,2026-09-16,15,economy,,,,false,unknown,error,2026-09-01T11:56:18.551929+05:30,2026-09-01_1156IST
BOM,BLR,QP,Akasa Air,error,2026-09-16,15,economy,,,,false,unknown,error,2026-09-01T11:57:14.561576+05:30,2026-09-01_1157IST
DEL,CCU,QP,Akasa Air,error,2026-09-16,15,economy,,,,false,unknown,error,2026-09-01T11:58:05.646596+05:30,2026-09-01_1158IST
BLR,HYD,QP,Akasa Air,error,2026-09-16,15,economy,,,,false,unknown,error,2026-09-01T11:58:58.222049+05:30,2026-09-01_1158IST
MAA,DEL,QP,Akasa Air,error,2026-09-16,15,economy,,,,false,unknown,error,2026-09-01T11:59:52.118486+05:30,2026-09-01_1159IST
DEL,BOM,QP,Akasa Air,error,2026-10-01,30,economy,,,,false,unknown,error,2026-09-01T12:00:43.784579+05:30,2026-09-01_1200IST
DEL,BLR,QP,Akasa Air,error,2026-10-01,30,economy,,,,false,unknown,error,2026-09-01T12:01:43.163185+05:30,2026-09-01_1201IST
BOM,BLR,QP,Akasa Air,error,2026-10-01,30,economy,,,,false,unknown,error,2026-09-01T12:02:39.827327+05:30,2026-09-01_1202IST
DEL,CCU,QP,Akasa Air,error,2026-10-01,30,economy,,,,false,unknown,error,2026-09-01T12:03:42.750019+05:30,2026-09-01_1203IST
BLR,HYD,QP,Akasa Air,error,2026-10-01,30,economy,,,,false,unknown,error,2026-09-01T12:04:36.800420+05:30,2026-09-01_1204IST
MAA,DEL,QP,Akasa Air,error,2026-10-01,30,economy,,,,false,unknown,error,2026-09-01T12:05:39.866805+05:30,2026-09-01_1205IST
DEL,BOM,QP,Akasa Air,error,2026-10-16,45,economy,,,,false,unknown,error,2026-09-01T12:06:43.846504+05:30,2026-09-01_1206IST
DEL,BLR,QP,Akasa Air,error,2026-10-16,45,economy,,,,false,unknown,error,2026-09-01T12:07:45.286047+05:30,2026-09-01_1207IST
BOM,BLR,QP,Akasa Air,error,2026-10-16,45,economy,,,,false,unknown,error,2026-09-01T12:08:36.051536+05:30,2026-09-01_1208IST
DEL,CCU,QP,Akasa Air,error,2026-10-16,45,economy,,,,false,unknown,error,2026-09-01T12:09:38.272957+05:30,2026-09-01_1209IST
BLR,HYD,QP,Akasa Air,error,2026-10-16,45,economy,,,,false,unknown,error,2026-09-01T12:10:40.699479+05:30,2026-09-01_1210IST
MAA,DEL,QP,Akasa Air,error,2026-10-16,45,economy,,,,false,unknown,error,2026-09-01T12:11:37.231159+05:30,2026-09-01_1211IST
