origin,destination,carrier_code,carrier_name,flight_num,travel_date,advance_purchase_days,fare_class,base_fare,taxes_and_fees,total_fare,fare_split_estimated,departure_time,status,scraped_at,capture_run
DEL,BOM,SG,SpiceJet,SG 802,2026-09-02,1,economy,,,6447.0,False,22:30,ok,2026-09-01T11:15:43.133204+05:30,2026-09-01_1115IST
DEL,BOM,SG,SpiceJet,SG 802,2026-09-02,1,economy,,,6867.0,False,22:30,ok,2026-09-01T11:15:43.133204+05:30,2026-09-01_1115IST
DEL,BOM,SG,SpiceJet,SG 802,2026-09-02,1,business,,,7759.0,False,22:30,ok,2026-09-01T11:15:43.133204+05:30,2026-09-01_1115IST
DEL,BOM,SG,SpiceJet,SG 800,2026-09-02,1,economy,,,6738.0,False,21:00,ok,2026-09-01T11:15:43.133204+05:30,2026-09-01_1115IST
DEL,BOM,SG,SpiceJet,SG 800,2026-09-02,1,economy,,,7158.0,False,21:00,ok,2026-09-01T11:15:43.133204+05:30,2026-09-01_1115IST
DEL,BOM,SG,SpiceJet,SG 800,2026-09-02,1,business,,,8052.0,False,21:00,ok,2026-09-01T11:15:43.133204+05:30,2026-09-01_1115IST
DEL,BLR,SG,SpiceJet,unknown,2026-09-02,1,unknown,,,,False,unknown,no_flights,2026-09-01T11:16:41.394216+05:30,2026-09-01_1115IST
BOM,BLR,SG,SpiceJet,unknown,2026-09-02,1,unknown,,,,False,unknown,no_flights,2026-09-01T11:17:42.509105+05:30,2026-09-01_1115IST
DEL,CCU,SG,SpiceJet,SG 905,2026-09-02,1,economy,,,7693.0,False,20:10,ok,2026-09-01T11:18:30.471068+05:30,2026-09-01_1115IST
DEL,CCU,SG,SpiceJet,SG 905,2026-09-02,1,economy,,,8113.0,False,20:10,ok,2026-09-01T11:18:30.471068+05:30,2026-09-01_1115IST
DEL,CCU,SG,SpiceJet,SG 905,2026-09-02,1,business,,,9005.0,False,20:10,ok,2026-09-01T11:18:30.471068+05:30,2026-09-01_1115IST
BLR,HYD,SG,SpiceJet,unknown,2026-09-02,1,unknown,,,,False,unknown,no_flights,2026-09-01T11:19:23.034659+05:30,2026-09-01_1115IST
MAA,DEL,SG,SpiceJet,unknown,2026-09-02,1,unknown,,,,False,unknown,no_flights,2026-09-01T11:20:19.973551+05:30,2026-09-01_1115IST
DEL,BOM,SG,SpiceJet,SG 162,2026-09-08,7,economy,,,6632.0,False,19:55,ok,2026-09-01T11:21:16.498707+05:30,2026-09-01_1115IST
DEL,BOM,SG,SpiceJet,SG 162,2026-09-08,7,economy,,,7052.0,False,19:55,ok,2026-09-01T11:21:16.498707+05:30,2026-09-01_1115IST
DEL,BOM,SG,SpiceJet,SG 162,2026-09-08,7,business,,,7944.0,False,19:55,ok,2026-09-01T11:21:16.498707+05:30,2026-09-01_1115IST
DEL,BOM,SG,SpiceJet,SG 802,2026-09-08,7,economy,,,8349.0,False,22:30,ok,2026-09-01T11:21:16.498707+05:30,2026-09-01_1115IST
DEL,BOM,SG,SpiceJet,SG 802,2026-09-08,7,economy,,,8769.0,False,22:30,ok,2026-09-01T11:21:16.498707+05:30,2026-09-01_1115IST
DEL,BOM,SG,SpiceJet,SG 802,2026-09-08,7,business,,,9661.0,False,22:30,ok,2026-09-01T11:21:16.498707+05:30,2026-09-01_1115IST
DEL,BLR,SG,SpiceJet,unknown,2026-09-08,7,unknown,,,,False,unknown,no_flights,2026-09-01T11:22:03.834218+05:30,2026-09-01_1115IST
BOM,BLR,SG,SpiceJet,unknown,2026-09-08,7,unknown,,,,False,unknown,no_flights,2026-09-01T11:22:59.453422+05:30,2026-09-01_1115IST
DEL,CCU,SG,SpiceJet,SG 905,2026-09-08,7,economy,,,7040.0,False,20:10,ok,2026-09-01T11:23:57.720183+05:30,2026-09-01_1115IST
DEL,CCU,SG,SpiceJet,SG 905,2026-09-08,7,economy,,,7460.0,False,20:10,ok,2026-09-01T11:23:57.720183+05:30,2026-09-01_1115IST
DEL,CCU,SG,SpiceJet,SG 905,2026-09-08,7,business,,,8352.0,False,20:10,ok,2026-09-01T11:23:57.720183+05:30,2026-09-01_1115IST
BLR,HYD,SG,SpiceJet,unknown,2026-09-08,7,unknown,,,,False,unknown,no_flights,2026-09-01T11:24:56.938386+05:30,2026-09-01_1115IST
MAA,DEL,SG,SpiceJet,unknown,2026-09-08,7,unknown,,,,False,unknown,no_flights,2026-09-01T11:25:55.684553+05:30,2026-09-01_1115IST
DEL,BOM,SG,SpiceJet,SG 9091,2026-09-16,15,economy,,,6976.0,False,05:30,ok,2026-09-01T11:26:42.335521+05:30,2026-09-01_1115IST
DEL,BOM,SG,SpiceJet,SG 9091,2026-09-16,15,economy,,,7396.0,False,05:30,ok,2026-09-01T11:26:42.335521+05:30,2026-09-01_1115IST
DEL,BOM,SG,SpiceJet,SG 9091,2026-09-16,15,business,,,8288.0,False,05:30,ok,2026-09-01T11:26:42.335521+05:30,2026-09-01_1115IST
DEL,BOM,SG,SpiceJet,SG 802,2026-09-16,15,economy,,,7469.0,False,22:30,ok,2026-09-01T11:26:42.335521+05:30,2026-09-01_1115IST
DEL,BOM,SG,SpiceJet,SG 802,2026-09-16,15,economy,,,7889.0,False,22:30,ok,2026-09-01T11:26:42.335521+05:30,2026-09-01_1115IST
DEL,BOM,SG,SpiceJet,SG 802,2026-09-16,15,business,,,8781.0,False,22:30,ok,2026-09-01T11:26:42.335521+05:30,2026-09-01_1115IST
DEL,BOM,SG,SpiceJet,SG 162,2026-09-16,15,economy,,,22301.0,False,20:10,ok,2026-09-01T11:26:42.335521+05:30,2026-09-01_1115IST
DEL,BOM,SG,SpiceJet,SG 162,2026-09-16,15,economy,,,22721.0,False,20:10,ok,2026-09-01T11:26:42.335521+05:30,2026-09-01_1115IST
DEL,BOM,SG,SpiceJet,SG 162,2026-09-16,15,business,,,23613.0,False,20:10,ok,2026-09-01T11:26:42.335521+05:30,2026-09-01_1115IST
DEL,BLR,SG,SpiceJet,unknown,2026-09-16,15,unknown,,,,False,unknown,no_flights,2026-09-01T11:27:30.180936+05:30,2026-09-01_1115IST
BOM,BLR,SG,SpiceJet,unknown,2026-09-16,15,unknown,,,,False,unknown,no_flights,2026-09-01T11:28:19.658761+05:30,2026-09-01_1115IST
DEL,CCU,SG,SpiceJet,SG 905,2026-09-16,15,economy,,,7907.0,False,20:10,ok,2026-09-01T11:29:15.715713+05:30,2026-09-01_1115IST
DEL,CCU,SG,SpiceJet,SG 905,2026-09-16,15,economy,,,8327.0,False,20:10,ok,2026-09-01T11:29:15.715713+05:30,2026-09-01_1115IST
DEL,CCU,SG,SpiceJet,SG 905,2026-09-16,15,business,,,9219.0,False,20:10,ok,2026-09-01T11:29:15.715713+05:30,2026-09-01_1115IST
BLR,HYD,SG,SpiceJet,unknown,2026-09-16,15,unknown,,,,False,unknown,no_flights,2026-09-01T11:30:05.913821+05:30,2026-09-01_1115IST
MAA,DEL,SG,SpiceJet,unknown,2026-09-16,15,unknown,,,,False,unknown,no_flights,2026-09-01T11:30:54.387457+05:30,2026-09-01_1115IST
DEL,BOM,SG,SpiceJet,SG 162,2026-10-01,30,economy,,,6341.0,False,20:10,ok,2026-09-01T11:31:44.924970+05:30,2026-09-01_1115IST
DEL,BOM,SG,SpiceJet,SG 162,2026-10-01,30,economy,,,6761.0,False,20:10,ok,2026-09-01T11:31:44.924970+05:30,2026-09-01_1115IST
DEL,BOM,SG,SpiceJet,SG 162,2026-10-01,30,business,,,7653.0,False,20:10,ok,2026-09-01T11:31:44.924970+05:30,2026-09-01_1115IST
