origin,destination,carrier_code,carrier_name,flight_num,travel_date,advance_purchase_days,fare_class,base_fare,taxes_and_fees,total_fare,fare_split_estimated,departure_time,status,scraped_at,capture_run
DEL,BOM,AI,Air India,AI 2678,2026-09-02,1,economy,,,8418.0,False,08:30,ok,2026-09-02T02:14:25.314974+05:30,2026-09-02_0214IST
DEL,BOM,AI,Air India,AI 2963,2026-09-02,1,economy,,,13237.0,False,09:00,ok,2026-09-02T02:14:25.314974+05:30,2026-09-02_0214IST
DEL,BOM,AI,Air India,AI 1745,2026-09-02,1,economy,,,6580.0,False,05:00,ok,2026-09-02T02:14:25.314974+05:30,2026-09-02_0214IST
DEL,BOM,AI,Air India,AI 2941,2026-09-02,1,economy,,,6580.0,False,16:30,ok,2026-09-02T02:14:25.314974+05:30,2026-09-02_0214IST
DEL,BOM,AI,Air India,AI 2981,2026-09-02,1,economy,,,6739.0,False,21:00,ok,2026-09-02T02:14:25.314974+05:30,2026-09-02_0214IST
DEL,BOM,AI,Air India,AI 2951,2026-09-02,1,economy,,,7525.0,False,13:30,ok,2026-09-02T02:14:25.314974+05:30,2026-09-02_0214IST
DEL,BOM,AI,Air India,AI 2975,2026-09-02,1,economy,,,12887.0,False,06:30,ok,2026-09-02T02:14:25.314974+05:30,2026-09-02_0214IST
DEL,BOM,AI,Air India,AI 2933,2026-09-02,1,economy,,,6580.0,False,15:30,ok,2026-09-02T02:14:25.314974+05:30,2026-09-02_0214IST
DEL,BOM,AI,Air India,AI 1777,2026-09-02,1,economy,,,6580.0,False,16:00,ok,2026-09-02T02:14:25.314974+05:30,2026-09-02_0214IST
DEL,BOM,AI,Air India,AI 2433,2026-09-02,1,economy,,,6580.0,False,21:30,ok,2026-09-02T02:14:25.314974+05:30,2026-09-02_0214IST
DEL,BOM,AI,Air India,AI 2439,2026-09-02,1,economy,,,6580.0,False,23:00,ok,2026-09-02T02:14:25.314974+05:30,2026-09-02_0214IST
DEL,BOM,AI,Air India,AI 1785,2026-09-02,1,economy,,,6739.0,False,12:00,ok,2026-09-02T02:14:25.314974+05:30,2026-09-02_0214IST
DEL,BOM,AI,Air India,AI 441,2026-09-02,1,economy,,,6739.0,False,17:00,ok,2026-09-02T02:14:25.314974+05:30,2026-09-02_0214IST
DEL,BOM,AI,Air India,AI 2943,2026-09-02,1,economy,,,6949.0,False,07:30,ok,2026-09-02T02:14:25.314974+05:30,2026-09-02_0214IST
DEL,BOM,AI,Air India,AI 2985,2026-09-02,1,economy,,,7525.0,False,19:30,ok,2026-09-02T02:14:25.314974+05:30,2026-09-02_0214IST
DEL,BOM,AI,Air India,AI 2805,2026-09-02,1,economy,,,7777.0,False,20:00,ok,2026-09-02T02:14:25.314974+05:30,2026-09-02_0214IST
DEL,BOM,AI,Air India,AI 2955,2026-09-02,1,economy,,,8697.0,False,18:00,ok,2026-09-02T02:14:25.314974+05:30,2026-09-02_0214IST
DEL,BOM,AI,Air India,AI 2977,2026-09-02,1,economy,,,8697.0,False,19:00,ok,2026-09-02T02:14:25.314974+05:30,2026-09-02_0214IST
DEL,BOM,AI,Air India,AI 2995,2026-09-02,1,economy,,,23840.0,False,10:00,ok,2026-09-02T02:14:25.314974+05:30,2026-09-02_0214IST
DEL,BOM,IX,Air India Express,AI 9484,2026-09-02,1,economy,,,6625.0,False,23:25,ok,2026-09-02T02:14:25.314974+05:30,2026-09-02_0214IST
DEL,BOM,AI,Air India,AI 2927,2026-09-02,1,economy,,,7840.0,False,09:30,ok,2026-09-02T02:14:25.314974+05:30,2026-09-02_0214IST
DEL,BOM,IX,Air India Express,AI 9486,2026-09-02,1,economy,,,6625.0,False,05:35,ok,2026-09-02T02:14:25.314974+05:30,2026-09-02_0214IST
DEL,BOM,AI,Air India,AI 2957,2026-09-02,1,economy,,,6739.0,False,20:30,ok,2026-09-02T02:14:25.314974+05:30,2026-09-02_0214IST
DEL,BOM,AI,Air India,AI 1780,2026-09-02,1,economy,,,6580.0,False,16:10,ok,2026-09-02T02:14:25.314974+05:30,2026-09-02_0214IST
DEL,BLR,AI,Air India,none,2026-09-02,1,economy,,,,False,unknown,parse_error,2026-09-02T02:15:46.006552+05:30,2026-09-02_0215IST
BOM,BLR,AI,Air India,AI 2401,2026-09-02,1,economy,,,12875.0,False,20:45,ok,2026-09-02T02:16:54.070451+05:30,2026-09-02_0216IST
BOM,BLR,AI,Air India,AI 2603,2026-09-02,1,economy,,,19786.0,False,06:35,ok,2026-09-02T02:16:54.070451+05:30,2026-09-02_0216IST
BOM,BLR,AI,Air India,AI 2857,2026-09-02,1,economy,,,6350.0,False,23:30,ok,2026-09-02T02:16:54.070451+05:30,2026-09-02_0216IST
BOM,BLR,AI,Air India,AI 2865,2026-09-02,1,economy,,,8070.0,False,19:45,ok,2026-09-02T02:16:54.070451+05:30,2026-09-02_0216IST
BOM,BLR,AI,Air India,AI 2849,2026-09-02,1,economy,,,8878.0,False,17:30,ok,2026-09-02T02:16:54.070451+05:30,2026-09-02_0216IST
BOM,BLR,AI,Air India,AI 2863,2026-09-02,1,economy,,,14730.0,False,10:00,ok,2026-09-02T02:16:54.070451+05:30,2026-09-02_0216IST
BOM,BLR,AI,Air India,AI 2641,2026-09-02,1,economy,,,14990.0,False,18:30,ok,2026-09-02T02:16:54.070451+05:30,2026-09-02_0216IST
BOM,BLR,AI,Air India,AI 2632,2026-09-02,1,economy,,,19071.0,False,12:00,ok,2026-09-02T02:16:54.070451+05:30,2026-09-02_0216IST
BOM,BLR,AI,Air India,AI 2853,2026-09-02,1,economy,,,6944.0,False,15:25,ok,2026-09-02T02:16:54.070451+05:30,2026-09-02_0216IST
BOM,BLR,AI,Air India,AI 2851,2026-09-02,1,economy,,,8580.0,False,07:55,ok,2026-09-02T02:16:54.070451+05:30,2026-09-02_0216IST
BOM,BLR,IX,Air India Express,AI 2619,2026-09-02,1,economy,,,21302.0,False,18:00,ok,2026-09-02T02:16:54.070451+05:30,2026-09-02_0216IST
BOM,BLR,IX,Air India Express,AI 435,2026-09-02,1,economy,,,28869.0,False,18:10,ok,2026-09-02T02:16:54.070451+05:30,2026-09-02_0216IST
BOM,BLR,IX,Air India Express,AI 2745,2026-09-02,1,economy,,,22381.0,False,15:30,ok,2026-09-02T02:16:54.070451+05:30,2026-09-02_0216IST
BOM,BLR,IX,Air India Express,AI 2855,2026-09-02,1,economy,,,27307.0,False,10:05,ok,2026-09-02T02:16:54.070451+05:30,2026-09-02_0216IST
BOM,BLR,AI,Air India,AI 2928,2026-09-02,1,economy,,,55133.0,False,06:30,ok,2026-09-02T02:16:54.070451+05:30,2026-09-02_0216IST
BOM,BLR,AI,Air India,AI 816,2026-09-02,1,economy,,,15667.0,False,21:00,ok,2026-09-02T02:16:54.070451+05:30,2026-09-02_0216IST
BOM,BLR,AI,Air India,AI 2677,2026-09-02,1,economy,,,17040.0,False,13:00,ok,2026-09-02T02:16:54.070451+05:30,2026-09-02_0216IST
DEL,CCU,AI,Air India,AI 2535,2026-09-02,1,economy,,,8502.0,False,06:40,ok,2026-09-02T02:18:08.846330+05:30,2026-09-02_0218IST
DEL,CCU,AI,Air India,AI 2709,2026-09-02,1,economy,,,8502.0,False,19:40,ok,2026-09-02T02:18:08.846330+05:30,2026-09-02_0218IST
DEL,CCU,AI,Air India,AI 2705,2026-09-02,1,economy,,,8502.0,False,07:30,ok,2026-09-02T02:18:08.846330+05:30,2026-09-02_0218IST
DEL,CCU,AI,Air India,AI 1791,2026-09-02,1,economy,,,8502.0,False,09:55,ok,2026-09-02T02:18:08.846330+05:30,2026-09-02_0218IST
DEL,CCU,AI,Air India,AI 2767,2026-09-02,1,economy,,,8502.0,False,13:00,ok,2026-09-02T02:18:08.846330+05:30,2026-09-02_0218IST
DEL,CCU,AI,Air India,AI 1733,2026-09-02,1,economy,,,8502.0,False,16:15,ok,2026-09-02T02:18:08.846330+05:30,2026-09-02_0218IST
DEL,CCU,AI,Air India,AI 2707,2026-09-02,1,economy,,,8502.0,False,18:00,ok,2026-09-02T02:18:08.846330+05:30,2026-09-02_0218IST
DEL,CCU,AI,Air India,AI 1714,2026-09-02,1,economy,,,8502.0,False,21:00,ok,2026-09-02T02:18:08.846330+05:30,2026-09-02_0218IST
DEL,CCU,AI,Air India,AI 2678,2026-09-02,1,economy,,,28776.0,False,08:30,ok,2026-09-02T02:18:08.846330+05:30,2026-09-02_0218IST
DEL,CCU,IX,Air India Express,AI 2487,2026-09-02,1,economy,,,47384.0,False,18:30,ok,2026-09-02T02:18:08.846330+05:30,2026-09-02_0218IST
DEL,CCU,AI,Air India,AI 2951,2026-09-02,1,economy,,,19664.0,False,13:30,ok,2026-09-02T02:18:08.846330+05:30,2026-09-02_0218IST
DEL,CCU,IX,Air India Express,AI 537,2026-09-02,1,economy,,,23590.0,False,15:45,ok,2026-09-02T02:18:08.846330+05:30,2026-09-02_0218IST
DEL,CCU,AI,Air India,AI 2943,2026-09-02,1,economy,,,16538.0,False,07:30,ok,2026-09-02T02:18:08.846330+05:30,2026-09-02_0218IST
DEL,CCU,AI,Air India,AI 441,2026-09-02,1,economy,,,16151.0,False,17:00,ok,2026-09-02T02:18:08.846330+05:30,2026-09-02_0218IST
DEL,CCU,AI,Air India,AI 2941,2026-09-02,1,economy,,,16151.0,False,16:30,ok,2026-09-02T02:18:08.846330+05:30,2026-09-02_0218IST
DEL,CCU,AI,Air India,AI 1785,2026-09-02,1,economy,,,19664.0,False,12:00,ok,2026-09-02T02:18:08.846330+05:30,2026-09-02_0218IST
DEL,CCU,AI,Air India,AI 2975,2026-09-02,1,economy,,,43582.0,False,06:30,ok,2026-09-02T02:18:08.846330+05:30,2026-09-02_0218IST
DEL,CCU,AI,Air India,AI 1780,2026-09-02,1,economy,,,16151.0,False,16:10,ok,2026-09-02T02:18:08.846330+05:30,2026-09-02_0218IST
DEL,CCU,AI,Air India,AI 2465,2026-09-02,1,economy,,,20647.0,False,14:30,ok,2026-09-02T02:18:08.846330+05:30,2026-09-02_0218IST
DEL,CCU,AI,Air India,AI 1779,2026-09-02,1,economy,,,23870.0,False,13:50,ok,2026-09-02T02:18:08.846330+05:30,2026-09-02_0218IST
BLR,HYD,IX,Air India Express,AI 9566,2026-09-02,1,economy,,,13740.0,False,22:40,ok,2026-09-02T02:19:09.503334+05:30,2026-09-02_0219IST
BLR,HYD,IX,Air India Express,AI 9572,2026-09-02,1,economy,,,13740.0,False,12:30,ok,2026-09-02T02:19:09.503334+05:30,2026-09-02_0219IST
BLR,HYD,IX,Air India Express,AI 9568,2026-09-02,1,economy,,,13740.0,False,17:15,ok,2026-09-02T02:19:09.503334+05:30,2026-09-02_0219IST
BLR,HYD,IX,Air India Express,AI 9840,2026-09-02,1,economy,,,5656.0,False,06:15,ok,2026-09-02T02:19:09.503334+05:30,2026-09-02_0219IST
BLR,HYD,AI,Air India,AI 2630,2026-09-02,1,economy,,,13463.0,False,12:05,ok,2026-09-02T02:19:09.503334+05:30,2026-09-02_0219IST
BLR,HYD,AI,Air India,AI 2854,2026-09-02,1,economy,,,13946.0,False,18:05,ok,2026-09-02T02:19:09.503334+05:30,2026-09-02_0219IST
BLR,HYD,AI,Air India,AI 2402,2026-09-02,1,economy,,,22409.0,False,06:35,ok,2026-09-02T02:19:09.503334+05:30,2026-09-02_0219IST
BLR,HYD,AI,Air India,AI 2810,2026-09-02,1,economy,,,18685.0,False,06:00,ok,2026-09-02T02:19:09.503334+05:30,2026-09-02_0219IST
BLR,HYD,AI,Air India,AI 2802,2026-09-02,1,economy,,,18685.0,False,18:20,ok,2026-09-02T02:19:09.503334+05:30,2026-09-02_0219IST
BLR,HYD,AI,Air India,AI 2852,2026-09-02,1,economy,,,13349.0,False,10:30,ok,2026-09-02T02:19:09.503334+05:30,2026-09-02_0219IST
BLR,HYD,AI,Air India,AI 2418,2026-09-02,1,economy,,,16671.0,False,16:30,ok,2026-09-02T02:19:09.503334+05:30,2026-09-02_0219IST
BLR,HYD,AI,Air India,AI 2486,2026-09-02,1,economy,,,18685.0,False,14:00,ok,2026-09-02T02:19:09.503334+05:30,2026-09-02_0219IST
BLR,HYD,AI,Air India,AI 2414,2026-09-02,1,economy,,,16671.0,False,05:30,ok,2026-09-02T02:19:09.503334+05:30,2026-09-02_0219IST
BLR,HYD,AI,Air India,AI 2804,2026-09-02,1,economy,,,16963.0,False,10:00,ok,2026-09-02T02:19:09.503334+05:30,2026-09-02_0219IST
