origin,destination,carrier_code,carrier_name,flight_num,travel_date,advance_purchase_days,fare_class,base_fare,taxes_and_fees,total_fare,fare_split_estimated,departure_time,status,scraped_at,capture_run,source,source_name
DEL,BOM,AI,Air India,AI 2678,2026-10-01,30,economy,,,6580.0,False,08:30,ok,2026-09-02T05:04:15.129799+05:30,2026-09-02_0504IST,airline_direct,Air India
DEL,BOM,AI,Air India,AI 2963,2026-10-01,30,economy,,,6580.0,False,09:00,ok,2026-09-02T05:04:15.129799+05:30,2026-09-02_0504IST,airline_direct,Air India
DEL,BOM,AI,Air India,AI 2425,2026-10-01,30,economy,,,6580.0,False,10:30,ok,2026-09-02T05:04:15.129799+05:30,2026-09-02_0504IST,airline_direct,Air India
DEL,BOM,AI,Air India,AI 2975,2026-10-01,30,economy,,,6739.0,False,06:30,ok,2026-09-02T05:04:15.129799+05:30,2026-09-02_0504IST,airline_direct,Air India
DEL,BOM,AI,Air India,AI 2951,2026-10-01,30,economy,,,6739.0,False,13:30,ok,2026-09-02T05:04:15.129799+05:30,2026-09-02_0504IST,airline_direct,Air India
DEL,BOM,AI,Air India,AI 2981,2026-10-01,30,economy,,,9568.0,False,21:00,ok,2026-09-02T05:04:15.129799+05:30,2026-09-02_0504IST,airline_direct,Air India
DEL,BOM,IX,Air India Express,AI 9486,2026-10-01,30,economy,,,6893.0,False,17:50,ok,2026-09-02T05:04:15.129799+05:30,2026-09-02_0504IST,airline_direct,Air India
DEL,BOM,AI,Air India,AI 1745,2026-10-01,30,economy,,,6580.0,False,05:00,ok,2026-09-02T05:04:15.129799+05:30,2026-09-02_0504IST,airline_direct,Air India
DEL,BOM,AI,Air India,AI 2995,2026-10-01,30,economy,,,6580.0,False,10:00,ok,2026-09-02T05:04:15.129799+05:30,2026-09-02_0504IST,airline_direct,Air India
DEL,BOM,AI,Air India,AI 2945,2026-10-01,30,economy,,,6580.0,False,11:00,ok,2026-09-02T05:04:15.129799+05:30,2026-09-02_0504IST,airline_direct,Air India
DEL,BOM,AI,Air India,AI 2441,2026-10-01,30,economy,,,6580.0,False,14:10,ok,2026-09-02T05:04:15.129799+05:30,2026-09-02_0504IST,airline_direct,Air India
DEL,BOM,AI,Air India,AI 2933,2026-10-01,30,economy,,,6580.0,False,15:30,ok,2026-09-02T05:04:15.129799+05:30,2026-09-02_0504IST,airline_direct,Air India
DEL,BOM,AI,Air India,AI 441,2026-10-01,30,economy,,,6580.0,False,17:00,ok,2026-09-02T05:04:15.129799+05:30,2026-09-02_0504IST,airline_direct,Air India
DEL,BOM,AI,Air India,AI 1785,2026-10-01,30,economy,,,6741.0,False,12:00,ok,2026-09-02T05:04:15.129799+05:30,2026-09-02_0504IST,airline_direct,Air India
DEL,BOM,AI,Air India,AI 1777,2026-10-01,30,economy,,,6741.0,False,16:00,ok,2026-09-02T05:04:15.129799+05:30,2026-09-02_0504IST,airline_direct,Air India
DEL,BOM,AI,Air India,AI 2429,2026-10-01,30,economy,,,6949.0,False,07:00,ok,2026-09-02T05:04:15.129799+05:30,2026-09-02_0504IST,airline_direct,Air India
DEL,BOM,AI,Air India,AI 2943,2026-10-01,30,economy,,,6949.0,False,07:30,ok,2026-09-02T05:04:15.129799+05:30,2026-09-02_0504IST,airline_direct,Air India
DEL,BOM,AI,Air India,AI 2985,2026-10-01,30,economy,,,6949.0,False,19:30,ok,2026-09-02T05:04:15.129799+05:30,2026-09-02_0504IST,airline_direct,Air India
DEL,BOM,AI,Air India,AI 2999,2026-10-01,30,economy,,,6949.0,False,22:00,ok,2026-09-02T05:04:15.129799+05:30,2026-09-02_0504IST,airline_direct,Air India
DEL,BOM,AI,Air India,AI 2439,2026-10-01,30,economy,,,6949.0,False,23:00,ok,2026-09-02T05:04:15.129799+05:30,2026-09-02_0504IST,airline_direct,Air India
DEL,BOM,AI,Air India,AI 2433,2026-10-01,30,economy,,,7120.0,False,21:30,ok,2026-09-02T05:04:15.129799+05:30,2026-09-02_0504IST,airline_direct,Air India
DEL,BOM,AI,Air India,AI 2805,2026-10-01,30,economy,,,7177.0,False,20:00,ok,2026-09-02T05:04:15.129799+05:30,2026-09-02_0504IST,airline_direct,Air India
DEL,BOM,AI,Air India,AI 2977,2026-10-01,30,economy,,,7520.0,False,19:00,ok,2026-09-02T05:04:15.129799+05:30,2026-09-02_0504IST,airline_direct,Air India
DEL,BOM,AI,Air India,AI 2955,2026-10-01,30,economy,,,7634.0,False,18:00,ok,2026-09-02T05:04:15.129799+05:30,2026-09-02_0504IST,airline_direct,Air India
DEL,BOM,IX,Air India Express,AI 9484,2026-10-01,30,economy,,,6893.0,False,23:25,ok,2026-09-02T05:04:15.129799+05:30,2026-09-02_0504IST,airline_direct,Air India
DEL,BOM,AI,Air India,AI 2927,2026-10-01,30,economy,,,6580.0,False,09:30,ok,2026-09-02T05:04:15.129799+05:30,2026-09-02_0504IST,airline_direct,Air India
