origin,destination,carrier_code,carrier_name,flight_num,travel_date,advance_purchase_days,fare_class,base_fare,taxes_and_fees,total_fare,fare_split_estimated,departure_time,status,scraped_at,capture_run
DEL,BOM,QP,Akasa Air,QP1833,2026-10-02,30,economy,5726.0,804.0,6530.0,True,06:50,ok,2026-09-02T13:45:32.619277+05:30,2026-09-02_1345IST
DEL,BOM,QP,Akasa Air,QP1119,2026-10-02,30,economy,5726.0,804.0,6530.0,True,08:40,ok,2026-09-02T13:45:32.619277+05:30,2026-09-02_1345IST
DEL,BOM,QP,Akasa Air,QP1110,2026-10-02,30,economy,5726.0,804.0,6530.0,True,10:00,ok,2026-09-02T13:45:32.619277+05:30,2026-09-02_1345IST
DEL,BOM,QP,Akasa Air,QP1128,2026-10-02,30,economy,5726.0,804.0,6530.0,True,16:00,ok,2026-09-02T13:45:32.619277+05:30,2026-09-02_1345IST
DEL,BOM,QP,Akasa Air,QP1820,2026-10-02,30,economy,5726.0,804.0,6530.0,True,17:30,ok,2026-09-02T13:45:32.619277+05:30,2026-09-02_1345IST
DEL,BOM,QP,Akasa Air,QP1826,2026-10-02,30,economy,5726.0,804.0,6530.0,True,19:55,ok,2026-09-02T13:45:32.619277+05:30,2026-09-02_1345IST
DEL,BLR,QP,Akasa Air,QP1574,2026-10-02,30,economy,7916.0,913.0,8829.0,True,14:10,ok,2026-09-02T13:47:12.530983+05:30,2026-09-02_1347IST
DEL,BLR,QP,Akasa Air,QP1822,2026-10-02,30,economy,7916.0,913.0,8829.0,True,16:40,ok,2026-09-02T13:47:12.530983+05:30,2026-09-02_1347IST
DEL,BLR,QP,Akasa Air,QP1824,2026-10-02,30,economy,7916.0,913.0,8829.0,True,20:50,ok,2026-09-02T13:47:12.530983+05:30,2026-09-02_1347IST
DEL,BLR,QP,Akasa Air,QP1350,2026-10-02,30,economy,7916.0,913.0,8829.0,True,21:55,ok,2026-09-02T13:47:12.530983+05:30,2026-09-02_1347IST
DEL,BLR,QP,Akasa Air,QP1812,2026-10-02,30,economy,7916.0,913.0,8829.0,True,22:55,ok,2026-09-02T13:47:12.530983+05:30,2026-09-02_1347IST
BOM,BLR,QP,Akasa Air,QP1516,2026-10-02,30,economy,4317.0,733.0,5050.0,True,00:40,ok,2026-09-02T13:48:47.426769+05:30,2026-09-02_1348IST
BOM,BLR,QP,Akasa Air,QP1133,2026-10-02,30,economy,4317.0,733.0,5050.0,True,20:05,ok,2026-09-02T13:48:47.426769+05:30,2026-09-02_1348IST
BOM,BLR,QP,Akasa Air,QP1518,2026-10-02,30,economy,4317.0,733.0,5050.0,True,21:45,ok,2026-09-02T13:48:47.426769+05:30,2026-09-02_1348IST
BOM,BLR,QP,Akasa Air,QP1153,2026-10-02,30,economy,7250.0,880.0,8130.0,True,09:30,ok,2026-09-02T13:48:47.426769+05:30,2026-09-02_1348IST
DEL,CCU,QP,Akasa Air,QP1803,2026-10-02,30,economy,7940.0,914.0,8854.0,True,17:00,ok,2026-09-02T13:50:23.103607+05:30,2026-09-02_1350IST
DEL,CCU,QP,Akasa Air,QP1801,2026-10-02,30,economy,9370.0,986.0,10356.0,True,05:55,ok,2026-09-02T13:50:23.103607+05:30,2026-09-02_1350IST
BLR,HYD,QP,Akasa Air,unknown,2026-10-02,30,economy,,,,False,unknown,no_flights_or_timeout,2026-09-02T13:51:53.466847+05:30,2026-09-02_1351IST
MAA,DEL,QP,Akasa Air,unknown,2026-10-02,30,economy,,,,False,unknown,no_flights_or_timeout,2026-09-02T13:53:30.382966+05:30,2026-09-02_1353IST
