origin,destination,carrier_code,carrier_name,flight_num,travel_date,advance_purchase_days,fare_class,base_fare,taxes_and_fees,total_fare,fare_split_estimated,departure_time,status,scraped_at,capture_run,source,source_name
DEL,BOM,6E,IndiGo,6E 6218,2026-09-05,1,economy,,,6090.0,False,06:05,ok,2026-09-04T21:17:09.040494+05:30,GOIBIBO_RUN_20260904_211709,ota,Goibibo
DEL,BOM,QP,Akasa Air,QP 1833,2026-09-05,1,economy,,,6530.0,False,06:50,ok,2026-09-04T21:17:09.040494+05:30,GOIBIBO_RUN_20260904_211709,ota,Goibibo
DEL,BOM,6E,IndiGo,6E 6814,2026-09-05,1,economy,,,6530.0,False,07:15,ok,2026-09-04T21:17:09.040494+05:30,GOIBIBO_RUN_20260904_211709,ota,Goibibo
DEL,BOM,6E,IndiGo,6E 320,2026-09-05,1,economy,,,6530.0,False,08:00,ok,2026-09-04T21:17:09.040494+05:30,GOIBIBO_RUN_20260904_211709,ota,Goibibo
DEL,BOM,QP,Akasa Air,QP 1119,2026-09-05,1,economy,,,6530.0,False,08:40,ok,2026-09-04T21:17:09.040494+05:30,GOIBIBO_RUN_20260904_211709,ota,Goibibo
DEL,BOM,6E,IndiGo,6E 675,2026-09-05,1,economy,,,6530.0,False,08:45,ok,2026-09-04T21:17:09.040494+05:30,GOIBIBO_RUN_20260904_211709,ota,Goibibo
DEL,BLR,6E,IndiGo,6E 6515,2026-09-05,1,economy,,,9285.0,False,20:45,ok,2026-09-04T21:18:32.097961+05:30,GOIBIBO_RUN_20260904_211832,ota,Goibibo
DEL,BLR,6E,IndiGo,6E 846,2026-09-05,1,economy,,,9286.0,False,22:00,ok,2026-09-04T21:18:32.097961+05:30,GOIBIBO_RUN_20260904_211832,ota,Goibibo
DEL,BLR,6E,IndiGo,6E 2579,2026-09-05,1,economy,,,9288.0,False,14:10,ok,2026-09-04T21:18:32.097961+05:30,GOIBIBO_RUN_20260904_211832,ota,Goibibo
DEL,BLR,AI,Air India,AI 2757,2026-09-05,1,economy,,,9300.0,False,00:15,ok,2026-09-04T21:18:32.097961+05:30,GOIBIBO_RUN_20260904_211832,ota,Goibibo
DEL,BLR,AI,Air India,AI 2653,2026-09-05,1,economy,,,9300.0,False,04:30,ok,2026-09-04T21:18:32.097961+05:30,GOIBIBO_RUN_20260904_211832,ota,Goibibo
DEL,BLR,AI,Air India,AI 2409,2026-09-05,1,economy,,,9300.0,False,06:00,ok,2026-09-04T21:18:32.097961+05:30,GOIBIBO_RUN_20260904_211832,ota,Goibibo
BOM,BLR,QP,Akasa Air,QP 1527,2026-09-05,1,economy,,,5463.0,False,07:35,ok,2026-09-04T21:20:01.239270+05:30,GOIBIBO_RUN_20260904_212001,ota,Goibibo
BOM,BLR,6E,IndiGo,6E 2085,2026-09-05,1,economy,,,6429.0,False,07:05,ok,2026-09-04T21:20:01.239270+05:30,GOIBIBO_RUN_20260904_212001,ota,Goibibo
BOM,BLR,QP,Akasa Air,QP 1516,2026-09-05,1,economy,,,6644.0,False,00:40,ok,2026-09-04T21:20:01.239270+05:30,GOIBIBO_RUN_20260904_212001,ota,Goibibo
BOM,BLR,QP,Akasa Air,QP 1382,2026-09-05,1,economy,,,6644.0,False,18:20,ok,2026-09-04T21:20:01.239270+05:30,GOIBIBO_RUN_20260904_212001,ota,Goibibo
BOM,BLR,QP,Akasa Air,QP 1133,2026-09-05,1,economy,,,6644.0,False,19:40,ok,2026-09-04T21:20:01.239270+05:30,GOIBIBO_RUN_20260904_212001,ota,Goibibo
DEL,CCU,6E,IndiGo,6E 2487,2026-09-05,1,economy,,,7368.0,False,11:50,ok,2026-09-04T21:21:15.931118+05:30,GOIBIBO_RUN_20260904_212115,ota,Goibibo
DEL,CCU,6E,IndiGo,6E 897,2026-09-05,1,economy,,,8722.0,False,12:45,ok,2026-09-04T21:21:15.931118+05:30,GOIBIBO_RUN_20260904_212115,ota,Goibibo
DEL,CCU,6E,IndiGo,6E 910,2026-09-05,1,economy,,,8722.0,False,14:25,ok,2026-09-04T21:21:15.931118+05:30,GOIBIBO_RUN_20260904_212115,ota,Goibibo
DEL,CCU,6E,IndiGo,6E 6415,2026-09-05,1,economy,,,8722.0,False,16:00,ok,2026-09-04T21:21:15.931118+05:30,GOIBIBO_RUN_20260904_212115,ota,Goibibo
DEL,CCU,6E,IndiGo,6E 2276,2026-09-05,1,economy,,,8722.0,False,17:55,ok,2026-09-04T21:21:15.931118+05:30,GOIBIBO_RUN_20260904_212115,ota,Goibibo
DEL,CCU,6E,IndiGo,6E 6517,2026-09-05,1,economy,,,8722.0,False,19:30,ok,2026-09-04T21:21:15.931118+05:30,GOIBIBO_RUN_20260904_212115,ota,Goibibo
BLR,HYD,6E,IndiGo,6E 6104,2026-09-05,1,economy,,,5486.0,False,11:40,ok,2026-09-04T21:22:26.929638+05:30,GOIBIBO_RUN_20260904_212226,ota,Goibibo
BLR,HYD,IX,Air India Express,IX 2506,2026-09-05,1,economy,,,8150.0,False,17:15,ok,2026-09-04T21:22:26.929638+05:30,GOIBIBO_RUN_20260904_212226,ota,Goibibo
BLR,HYD,6E,IndiGo,6E 6583,2026-09-05,1,economy,,,7899.0,False,10:40,ok,2026-09-04T21:22:26.929638+05:30,GOIBIBO_RUN_20260904_212226,ota,Goibibo
BLR,HYD,6E,IndiGo,6E 6891,2026-09-05,1,economy,,,8369.0,False,17:15,ok,2026-09-04T21:22:26.929638+05:30,GOIBIBO_RUN_20260904_212226,ota,Goibibo
BLR,HYD,IX,Air India Express,IX 2819,2026-09-05,1,economy,,,8855.0,False,12:30,ok,2026-09-04T21:22:26.929638+05:30,GOIBIBO_RUN_20260904_212226,ota,Goibibo
BLR,HYD,IX,Air India Express,IX 1723,2026-09-05,1,economy,,,8855.0,False,22:40,ok,2026-09-04T21:22:26.929638+05:30,GOIBIBO_RUN_20260904_212226,ota,Goibibo
MAA,DEL,6E,IndiGo,6E 6002,2026-09-05,1,economy,,,10084.0,False,11:10,ok,2026-09-04T21:23:52.739397+05:30,GOIBIBO_RUN_20260904_212352,ota,Goibibo
MAA,DEL,6E,IndiGo,6E 939,2026-09-05,1,economy,,,11105.0,False,13:00,ok,2026-09-04T21:23:52.739397+05:30,GOIBIBO_RUN_20260904_212352,ota,Goibibo
MAA,DEL,6E,IndiGo,6E 848,2026-09-05,1,economy,,,11208.0,False,17:50,ok,2026-09-04T21:23:52.739397+05:30,GOIBIBO_RUN_20260904_212352,ota,Goibibo
