origin,destination,carrier_code,carrier_name,flight_num,travel_date,advance_purchase_days,fare_class,base_fare,taxes_and_fees,total_fare,fare_split_estimated,departure_time,status,scraped_at,capture_run,source,source_name
DEL,BOM,6E,IndiGo,6E-6814,2026-09-05,1,economy,,,6442.0,False,07:15,ok,2026-09-04T22:31:23.167115+05:30,2026-09-04_2231IST,ota,MakeMyTrip
DEL,BOM,6E,IndiGo,6E-320,2026-09-05,1,economy,,,6530.0,False,08:00,ok,2026-09-04T22:31:23.167115+05:30,2026-09-04_2231IST,ota,MakeMyTrip
DEL,BOM,QP,Akasa Air,QP-1119,2026-09-05,1,economy,,,6530.0,False,08:40,ok,2026-09-04T22:31:23.167115+05:30,2026-09-04_2231IST,ota,MakeMyTrip
DEL,BOM,6E,IndiGo,6E-675,2026-09-05,1,economy,,,6530.0,False,08:45,ok,2026-09-04T22:31:23.167115+05:30,2026-09-04_2231IST,ota,MakeMyTrip
DEL,BOM,QP,Akasa Air,QP-1112,2026-09-05,1,economy,,,6530.0,False,09:20,ok,2026-09-04T22:31:23.167115+05:30,2026-09-04_2231IST,ota,MakeMyTrip
DEL,BOM,6E,IndiGo,6E-6107,2026-09-05,1,economy,,,6530.0,False,09:30,ok,2026-09-04T22:31:23.167115+05:30,2026-09-04_2231IST,ota,MakeMyTrip
DEL,BLR,6E,IndiGo,6E-2579,2026-09-05,1,economy,,,9285.0,False,14:10,ok,2026-09-04T22:32:50.971183+05:30,2026-09-04_2232IST,ota,MakeMyTrip
DEL,BLR,AI,Air India,AI-2653,2026-09-05,1,economy,,,9300.0,False,04:30,ok,2026-09-04T22:32:50.971183+05:30,2026-09-04_2232IST,ota,MakeMyTrip
DEL,BLR,AI,Air India,AI-2409,2026-09-05,1,economy,,,9300.0,False,06:00,ok,2026-09-04T22:32:50.971183+05:30,2026-09-04_2232IST,ota,MakeMyTrip
DEL,BLR,AI,Air India,AI-2803,2026-09-05,1,economy,,,9300.0,False,06:30,ok,2026-09-04T22:32:50.971183+05:30,2026-09-04_2232IST,ota,MakeMyTrip
DEL,BLR,AI,Air India,AI-2815,2026-09-05,1,economy,,,9300.0,False,07:00,ok,2026-09-04T22:32:50.971183+05:30,2026-09-04_2232IST,ota,MakeMyTrip
DEL,BLR,QP,Akasa Air,QP-1824,2026-09-05,1,economy,,,9328.0,False,20:10,ok,2026-09-04T22:32:50.971183+05:30,2026-09-04_2232IST,ota,MakeMyTrip
