origin,destination,carrier_code,carrier_name,flight_num,travel_date,advance_purchase_days,fare_class,base_fare,taxes_and_fees,total_fare,fare_split_estimated,departure_time,status,scraped_at,capture_run,source,source_name
DEL,BOM,6E,IndiGo,6E-6218,2026-10-04,30,economy,,,6447.0,False,06:05,ok,2026-09-04T23:25:07.854508+05:30,2026-09-04_2325IST,ota,MakeMyTrip
DEL,BOM,QP,Akasa Air,QP-1833,2026-10-04,30,economy,,,6530.0,False,06:50,ok,2026-09-04T23:25:07.854508+05:30,2026-09-04_2325IST,ota,MakeMyTrip
DEL,BOM,6E,IndiGo,6E-6814,2026-10-04,30,economy,,,6530.0,False,07:15,ok,2026-09-04T23:25:07.854508+05:30,2026-09-04_2325IST,ota,MakeMyTrip
DEL,BOM,6E,IndiGo,6E-320,2026-10-04,30,economy,,,6530.0,False,08:00,ok,2026-09-04T23:25:07.854508+05:30,2026-09-04_2325IST,ota,MakeMyTrip
DEL,BOM,QP,Akasa Air,QP-1119,2026-10-04,30,economy,,,6530.0,False,08:40,ok,2026-09-04T23:25:07.854508+05:30,2026-09-04_2325IST,ota,MakeMyTrip
DEL,BOM,6E,IndiGo,6E-675,2026-10-04,30,economy,,,6530.0,False,08:45,ok,2026-09-04T23:25:07.854508+05:30,2026-09-04_2325IST,ota,MakeMyTrip
DEL,BLR,IX,Air India Express,IX-5975,2026-10-04,30,economy,,,8829.0,False,21:00,ok,2026-09-04T23:26:36.398642+05:30,2026-09-04_2326IST,ota,MakeMyTrip
DEL,BLR,IX,Air India Express,IX-1070,2026-10-04,30,economy,,,9028.0,False,21:15,ok,2026-09-04T23:26:36.398642+05:30,2026-09-04_2326IST,ota,MakeMyTrip
DEL,BLR,6E,IndiGo,6E-873,2026-10-04,30,economy,,,9286.0,False,08:20,ok,2026-09-04T23:26:36.398642+05:30,2026-09-04_2326IST,ota,MakeMyTrip
DEL,BLR,6E,IndiGo,6E-826,2026-10-04,30,economy,,,9286.0,False,09:30,ok,2026-09-04T23:26:36.398642+05:30,2026-09-04_2326IST,ota,MakeMyTrip
DEL,BLR,QP,Akasa Air,QP-1350,2026-10-04,30,economy,,,9680.0,False,21:55,ok,2026-09-04T23:26:36.398642+05:30,2026-09-04_2326IST,ota,MakeMyTrip
DEL,BLR,6E,IndiGo,6E-850,2026-10-04,30,economy,,,9771.0,False,12:15,ok,2026-09-04T23:26:36.398642+05:30,2026-09-04_2326IST,ota,MakeMyTrip
BOM,BLR,QP,Akasa Air,QP-2001,2026-10-04,30,economy,,,5050.0,False,18:45,ok,2026-09-04T23:27:51.232695+05:30,2026-09-04_2327IST,ota,MakeMyTrip
BOM,BLR,6E,IndiGo,6E-5217,2026-10-04,30,economy,,,7062.0,False,11:00,ok,2026-09-04T23:27:51.232695+05:30,2026-09-04_2327IST,ota,MakeMyTrip
BOM,BLR,6E,IndiGo,6E-5184,2026-10-04,30,economy,,,7062.0,False,12:30,ok,2026-09-04T23:27:51.232695+05:30,2026-09-04_2327IST,ota,MakeMyTrip
BOM,BLR,6E,IndiGo,6E-5388,2026-10-04,30,economy,,,7062.0,False,22:20,ok,2026-09-04T23:27:51.232695+05:30,2026-09-04_2327IST,ota,MakeMyTrip
BOM,BLR,QP,Akasa Air,QP-1153,2026-10-04,30,economy,,,7199.0,False,09:30,ok,2026-09-04T23:27:51.232695+05:30,2026-09-04_2327IST,ota,MakeMyTrip
BOM,BLR,IX,Air India Express,IX-2915,2026-10-04,30,economy,,,7244.0,False,14:00,ok,2026-09-04T23:27:51.232695+05:30,2026-09-04_2327IST,ota,MakeMyTrip
DEL,CCU,AI,Air India,AI-2705,2026-10-04,30,economy,,,7448.0,False,07:30,ok,2026-09-04T23:29:12.862641+05:30,2026-09-04_2329IST,ota,MakeMyTrip
DEL,CCU,AI,Air India,AI-2707,2026-10-04,30,economy,,,9183.0,False,18:00,ok,2026-09-04T23:29:12.862641+05:30,2026-09-04_2329IST,ota,MakeMyTrip
DEL,CCU,QP,Akasa Air,QP-1803,2026-10-04,30,economy,,,9208.0,False,17:00,ok,2026-09-04T23:29:12.862641+05:30,2026-09-04_2329IST,ota,MakeMyTrip
DEL,CCU,6E,IndiGo,6E-5191,2026-10-04,30,economy,,,9299.0,False,05:00,ok,2026-09-04T23:29:12.862641+05:30,2026-09-04_2329IST,ota,MakeMyTrip
DEL,CCU,6E,IndiGo,6E-247,2026-10-04,30,economy,,,9299.0,False,23:30,ok,2026-09-04T23:29:12.862641+05:30,2026-09-04_2329IST,ota,MakeMyTrip
DEL,CCU,AI,Air India,AI-1733,2026-10-04,30,economy,,,9345.0,False,16:15,ok,2026-09-04T23:29:12.862641+05:30,2026-09-04_2329IST,ota,MakeMyTrip
BLR,HYD,6E,IndiGo,6E-6178,2026-10-04,30,economy,,,4392.0,False,06:10,ok,2026-09-04T23:30:29.942053+05:30,2026-09-04_2330IST,ota,MakeMyTrip
BLR,HYD,6E,IndiGo,6E-6067,2026-10-04,30,economy,,,4718.0,False,16:30,ok,2026-09-04T23:30:29.942053+05:30,2026-09-04_2330IST,ota,MakeMyTrip
BLR,HYD,6E,IndiGo,6E-312,2026-10-04,30,economy,,,5078.0,False,09:15,ok,2026-09-04T23:30:29.942053+05:30,2026-09-04_2330IST,ota,MakeMyTrip
BLR,HYD,6E,IndiGo,6E-6404,2026-10-04,30,economy,,,5078.0,False,11:35,ok,2026-09-04T23:30:29.942053+05:30,2026-09-04_2330IST,ota,MakeMyTrip
BLR,HYD,6E,IndiGo,6E-638,2026-10-04,30,economy,,,5078.0,False,18:35,ok,2026-09-04T23:30:29.942053+05:30,2026-09-04_2330IST,ota,MakeMyTrip
BLR,HYD,6E,IndiGo,6E-6784,2026-10-04,30,economy,,,5078.0,False,21:25,ok,2026-09-04T23:30:29.942053+05:30,2026-09-04_2330IST,ota,MakeMyTrip
MAA,DEL,6E,IndiGo,6E-6002,2026-10-04,30,economy,,,10150.0,False,11:10,ok,2026-09-04T23:31:41.683341+05:30,2026-09-04_2331IST,ota,MakeMyTrip
MAA,DEL,6E,IndiGo,6E-939,2026-10-04,30,economy,,,10615.0,False,13:00,ok,2026-09-04T23:31:41.683341+05:30,2026-09-04_2331IST,ota,MakeMyTrip
MAA,DEL,6E,IndiGo,6E-948,2026-10-04,30,economy,,,10615.0,False,14:30,ok,2026-09-04T23:31:41.683341+05:30,2026-09-04_2331IST,ota,MakeMyTrip
MAA,DEL,6E,IndiGo,6E-613,2026-10-04,30,economy,,,10615.0,False,19:00,ok,2026-09-04T23:31:41.683341+05:30,2026-09-04_2331IST,ota,MakeMyTrip
MAA,DEL,AI,Air India,AI-538,2026-10-04,30,economy,,,11043.0,False,20:10,ok,2026-09-04T23:31:41.683341+05:30,2026-09-04_2331IST,ota,MakeMyTrip
MAA,DEL,6E,IndiGo,6E-698,2026-10-04,30,economy,,,11105.0,False,16:45,ok,2026-09-04T23:31:41.683341+05:30,2026-09-04_2331IST,ota,MakeMyTrip
DEL,BOM,IX,Air India Express,IX-1235,2026-10-19,45,economy,,,6500.0,False,23:25,ok,2026-09-04T23:33:07.161443+05:30,2026-09-04_2333IST,ota,MakeMyTrip
DEL,BOM,QP,Akasa Air,QP-1833,2026-10-19,45,economy,,,6530.0,False,06:50,ok,2026-09-04T23:33:07.161443+05:30,2026-09-04_2333IST,ota,MakeMyTrip
DEL,BOM,QP,Akasa Air,QP-1128,2026-10-19,45,economy,,,6530.0,False,16:00,ok,2026-09-04T23:33:07.161443+05:30,2026-09-04_2333IST,ota,MakeMyTrip
DEL,BOM,QP,Akasa Air,QP-1820,2026-10-19,45,economy,,,6530.0,False,17:30,ok,2026-09-04T23:33:07.161443+05:30,2026-09-04_2333IST,ota,MakeMyTrip
DEL,BOM,6E,IndiGo,6E-5198,2026-10-19,45,economy,,,6920.0,False,15:00,ok,2026-09-04T23:33:07.161443+05:30,2026-09-04_2333IST,ota,MakeMyTrip
DEL,BOM,6E,IndiGo,6E-353,2026-10-19,45,economy,,,7019.0,False,03:00,ok,2026-09-04T23:33:07.161443+05:30,2026-09-04_2333IST,ota,MakeMyTrip
DEL,BLR,6E,IndiGo,6E-820,2026-10-19,45,economy,,,9585.0,False,03:00,ok,2026-09-04T23:34:33.331800+05:30,2026-09-04_2334IST,ota,MakeMyTrip
DEL,BLR,6E,IndiGo,6E-2314,2026-10-19,45,economy,,,10048.0,False,05:45,ok,2026-09-04T23:34:33.331800+05:30,2026-09-04_2334IST,ota,MakeMyTrip
DEL,BLR,6E,IndiGo,6E-810,2026-10-19,45,economy,,,10048.0,False,07:05,ok,2026-09-04T23:34:33.331800+05:30,2026-09-04_2334IST,ota,MakeMyTrip
DEL,BLR,6E,IndiGo,6E-873,2026-10-19,45,economy,,,10048.0,False,08:20,ok,2026-09-04T23:34:33.331800+05:30,2026-09-04_2334IST,ota,MakeMyTrip
DEL,BLR,6E,IndiGo,6E-826,2026-10-19,45,economy,,,10048.0,False,09:30,ok,2026-09-04T23:34:33.331800+05:30,2026-09-04_2334IST,ota,MakeMyTrip
DEL,BLR,6E,IndiGo,6E-842,2026-10-19,45,economy,,,10048.0,False,10:45,ok,2026-09-04T23:34:33.331800+05:30,2026-09-04_2334IST,ota,MakeMyTrip
BOM,BLR,IX,Air India Express,IX-2915,2026-10-19,45,economy,,,5030.0,False,14:00,ok,2026-09-04T23:35:51.800684+05:30,2026-09-04_2335IST,ota,MakeMyTrip
