origin,destination,carrier_code,carrier_name,flight_num,travel_date,advance_purchase_days,fare_class,base_fare,taxes_and_fees,total_fare,fare_split_estimated,departure_time,status,scraped_at,capture_run
DEL,BOM,SG,SpiceJet,SG 802,2026-09-01,1,economy,,,7085.0,False,22:30,ok,2026-08-30T22:00:00.709145+00:00,2026-08-30_2159IST
DEL,BOM,SG,SpiceJet,SG 802,2026-09-01,1,economy,,,7505.0,False,22:30,ok,2026-08-30T22:00:00.709145+00:00,2026-08-30_2159IST
DEL,BOM,SG,SpiceJet,SG 802,2026-09-01,1,business,,,8397.0,False,22:30,ok,2026-08-30T22:00:00.709145+00:00,2026-08-30_2159IST
DEL,BOM,SG,SpiceJet,SG 162,2026-09-07,7,economy,,,8736.0,False,19:55,ok,2026-08-30T22:05:39.344307+00:00,2026-08-30_2159IST
DEL,BOM,SG,SpiceJet,SG 162,2026-09-07,7,economy,,,9156.0,False,19:55,ok,2026-08-30T22:05:39.344307+00:00,2026-08-30_2159IST
DEL,BOM,SG,SpiceJet,SG 162,2026-09-07,7,business,,,10048.0,False,19:55,ok,2026-08-30T22:05:39.344307+00:00,2026-08-30_2159IST
DEL,BOM,SG,SpiceJet,SG 802,2026-09-07,7,economy,,,8849.0,False,22:30,ok,2026-08-30T22:05:39.344307+00:00,2026-08-30_2159IST
DEL,BOM,SG,SpiceJet,SG 802,2026-09-07,7,economy,,,9269.0,False,22:30,ok,2026-08-30T22:05:39.344307+00:00,2026-08-30_2159IST
DEL,BOM,SG,SpiceJet,SG 802,2026-09-07,7,business,,,10161.0,False,22:30,ok,2026-08-30T22:05:39.344307+00:00,2026-08-30_2159IST
DEL,BOM,SG,SpiceJet,SG 162,2026-09-15,15,economy,,,8736.0,False,19:55,ok,2026-08-30T22:10:54.714511+00:00,2026-08-30_2159IST
DEL,BOM,SG,SpiceJet,SG 162,2026-09-15,15,economy,,,9156.0,False,19:55,ok,2026-08-30T22:10:54.714511+00:00,2026-08-30_2159IST
DEL,BOM,SG,SpiceJet,SG 162,2026-09-15,15,business,,,10048.0,False,19:55,ok,2026-08-30T22:10:54.714511+00:00,2026-08-30_2159IST
DEL,BOM,SG,SpiceJet,SG 802,2026-09-15,15,economy,,,9980.0,False,22:30,ok,2026-08-30T22:10:54.714511+00:00,2026-08-30_2159IST
DEL,BOM,SG,SpiceJet,SG 802,2026-09-15,15,economy,,,10400.0,False,22:30,ok,2026-08-30T22:10:54.714511+00:00,2026-08-30_2159IST
DEL,BOM,SG,SpiceJet,SG 802,2026-09-15,15,business,,,11292.0,False,22:30,ok,2026-08-30T22:10:54.714511+00:00,2026-08-30_2159IST
DEL,BOM,SG,SpiceJet,SG 9091,2026-09-30,30,economy,,,7778.0,False,05:30,ok,2026-08-30T22:16:27.347565+00:00,2026-08-30_2159IST
DEL,BOM,SG,SpiceJet,SG 9091,2026-09-30,30,economy,,,8198.0,False,05:30,ok,2026-08-30T22:16:27.347565+00:00,2026-08-30_2159IST
DEL,BOM,SG,SpiceJet,SG 9091,2026-09-30,30,business,,,9090.0,False,05:30,ok,2026-08-30T22:16:27.347565+00:00,2026-08-30_2159IST
DEL,BOM,SG,SpiceJet,SG 800,2026-09-30,30,economy,,,14696.0,False,21:00,ok,2026-08-30T22:16:27.347565+00:00,2026-08-30_2159IST
DEL,BOM,SG,SpiceJet,SG 800,2026-09-30,30,economy,,,15116.0,False,21:00,ok,2026-08-30T22:16:27.347565+00:00,2026-08-30_2159IST
DEL,BOM,SG,SpiceJet,SG 800,2026-09-30,30,business,,,16008.0,False,21:00,ok,2026-08-30T22:16:27.347565+00:00,2026-08-30_2159IST
DEL,BOM,SG,SpiceJet,SG 802,2026-09-30,30,economy,,,14696.0,False,22:30,ok,2026-08-30T22:16:27.347565+00:00,2026-08-30_2159IST
DEL,BOM,SG,SpiceJet,SG 802,2026-09-30,30,economy,,,15116.0,False,22:30,ok,2026-08-30T22:16:27.347565+00:00,2026-08-30_2159IST
DEL,BOM,SG,SpiceJet,SG 802,2026-09-30,30,business,,,16008.0,False,22:30,ok,2026-08-30T22:16:27.347565+00:00,2026-08-30_2159IST
DEL,BOM,SG,SpiceJet,SG 162,2026-10-15,45,economy,,,8361.0,False,20:10,ok,2026-08-30T22:21:51.803737+00:00,2026-08-30_2159IST
DEL,BOM,SG,SpiceJet,SG 162,2026-10-15,45,economy,,,8781.0,False,20:10,ok,2026-08-30T22:21:51.803737+00:00,2026-08-30_2159IST
DEL,BOM,SG,SpiceJet,SG 162,2026-10-15,45,business,,,9673.0,False,20:10,ok,2026-08-30T22:21:51.803737+00:00,2026-08-30_2159IST
DEL,BOM,SG,SpiceJet,SG 802,2026-10-15,45,economy,,,8361.0,False,22:30,ok,2026-08-30T22:21:51.803737+00:00,2026-08-30_2159IST
DEL,BOM,SG,SpiceJet,SG 802,2026-10-15,45,economy,,,8781.0,False,22:30,ok,2026-08-30T22:21:51.803737+00:00,2026-08-30_2159IST
DEL,BOM,SG,SpiceJet,SG 802,2026-10-15,45,business,,,9673.0,False,22:30,ok,2026-08-30T22:21:51.803737+00:00,2026-08-30_2159IST
