origin,destination,carrier_code,carrier_name,flight_num,travel_date,advance_purchase_days,fare_class,base_fare,taxes_and_fees,total_fare,fare_split_estimated,departure_time,status,scraped_at,capture_run
DEL,CCU,SG,SpiceJet,unknown,2026-09-01,1,unknown,,,,False,unknown,no_flights,2026-08-30T22:02:53.583041+00:00,2026-08-30_2159IST
DEL,CCU,SG,SpiceJet,SG 905,2026-09-07,7,economy,,,7587.0,False,20:10,ok,2026-08-30T22:08:12.959903+00:00,2026-08-30_2159IST
DEL,CCU,SG,SpiceJet,SG 905,2026-09-07,7,economy,,,8007.0,False,20:10,ok,2026-08-30T22:08:12.959903+00:00,2026-08-30_2159IST
DEL,CCU,SG,SpiceJet,SG 905,2026-09-07,7,business,,,8899.0,False,20:10,ok,2026-08-30T22:08:12.959903+00:00,2026-08-30_2159IST
DEL,CCU,SG,SpiceJet,SG 905,2026-09-15,15,economy,,,7553.0,False,20:10,ok,2026-08-30T22:13:34.866422+00:00,2026-08-30_2159IST
DEL,CCU,SG,SpiceJet,SG 905,2026-09-15,15,economy,,,7973.0,False,20:10,ok,2026-08-30T22:13:34.866422+00:00,2026-08-30_2159IST
DEL,CCU,SG,SpiceJet,SG 905,2026-09-15,15,business,,,8865.0,False,20:10,ok,2026-08-30T22:13:34.866422+00:00,2026-08-30_2159IST
DEL,CCU,SG,SpiceJet,SG 905,2026-09-30,30,economy,,,8301.0,False,20:10,ok,2026-08-30T22:19:08.958100+00:00,2026-08-30_2159IST
DEL,CCU,SG,SpiceJet,SG 905,2026-09-30,30,economy,,,8721.0,False,20:10,ok,2026-08-30T22:19:08.958100+00:00,2026-08-30_2159IST
DEL,CCU,SG,SpiceJet,SG 905,2026-09-30,30,business,,,9613.0,False,20:10,ok,2026-08-30T22:19:08.958100+00:00,2026-08-30_2159IST
DEL,CCU,SG,SpiceJet,SG 905,2026-10-15,45,economy,,,16128.0,False,20:10,ok,2026-08-30T22:24:40.142526+00:00,2026-08-30_2159IST
DEL,CCU,SG,SpiceJet,SG 905,2026-10-15,45,economy,,,16548.0,False,20:10,ok,2026-08-30T22:24:40.142526+00:00,2026-08-30_2159IST
DEL,CCU,SG,SpiceJet,SG 905,2026-10-15,45,business,,,17440.0,False,20:10,ok,2026-08-30T22:24:40.142526+00:00,2026-08-30_2159IST
