origin,destination,carrier_code,carrier_name,flight_num,travel_date,advance_purchase_days,fare_class,base_fare,taxes_and_fees,total_fare,fare_split_estimated,departure_time,status,scraped_at,capture_run
DEL,BOM,QP,Akasa Air,QP1119,2026-09-06,1,economy,5726.0,804.0,6530.0,True,08:40,ok,2026-09-05T18:25:51.935160+05:30,2026-09-05_1825IST
DEL,BOM,QP,Akasa Air,QP1112,2026-09-06,1,economy,5726.0,804.0,6530.0,True,09:20,ok,2026-09-05T18:25:51.935160+05:30,2026-09-05_1825IST
DEL,BOM,QP,Akasa Air,QP1110,2026-09-06,1,economy,5726.0,804.0,6530.0,True,10:30,ok,2026-09-05T18:25:51.935160+05:30,2026-09-05_1825IST
DEL,BOM,QP,Akasa Air,QP1128,2026-09-06,1,economy,6827.0,859.0,7686.0,True,16:00,ok,2026-09-05T18:25:51.935160+05:30,2026-09-05_1825IST
DEL,BOM,QP,Akasa Air,QP1820,2026-09-06,1,economy,6827.0,859.0,7686.0,True,17:30,ok,2026-09-05T18:25:51.935160+05:30,2026-09-05_1825IST
DEL,BOM,QP,Akasa Air,QP1826,2026-09-06,1,economy,7528.0,894.0,8422.0,True,19:55,ok,2026-09-05T18:25:51.935160+05:30,2026-09-05_1825IST
DEL,BOM,QP,Akasa Air,QP1836,2026-09-06,1,economy,7983.0,916.0,8899.0,True,12:30,ok,2026-09-05T18:25:51.935160+05:30,2026-09-05_1825IST
DEL,BLR,QP,Akasa Air,QP1812,2026-09-06,1,economy,12400.0,1137.0,13537.0,True,22:55,ok,2026-09-05T18:27:26.595128+05:30,2026-09-05_1827IST
DEL,BLR,QP,Akasa Air,QP1350,2026-09-06,1,economy,12896.0,1162.0,14058.0,True,21:55,ok,2026-09-05T18:27:26.595128+05:30,2026-09-05_1827IST
DEL,BLR,QP,Akasa Air,QP1308,2026-09-06,1,economy,13150.0,1175.0,14325.0,True,20:55,ok,2026-09-05T18:27:26.595128+05:30,2026-09-05_1827IST
DEL,BLR,QP,Akasa Air,QP1824,2026-09-06,1,economy,13947.0,1215.0,15162.0,True,20:10,ok,2026-09-05T18:27:26.595128+05:30,2026-09-05_1827IST
DEL,BLR,QP,Akasa Air,QP1822,2026-09-06,1,economy,16640.0,1349.0,17989.0,True,16:40,ok,2026-09-05T18:27:26.595128+05:30,2026-09-05_1827IST
BOM,BLR,QP,Akasa Air,QP1527,2026-09-06,1,economy,6943.0,864.0,7807.0,True,07:35,ok,2026-09-05T18:28:57.751654+05:30,2026-09-05_1828IST
BOM,BLR,QP,Akasa Air,QP1516,2026-09-06,1,economy,7250.0,880.0,8130.0,True,00:40,ok,2026-09-05T18:28:57.751654+05:30,2026-09-05_1828IST
BOM,BLR,QP,Akasa Air,QP1518,2026-09-06,1,economy,9023.0,968.0,9991.0,True,21:45,ok,2026-09-05T18:28:57.751654+05:30,2026-09-05_1828IST
BOM,BLR,QP,Akasa Air,QP1382,2026-09-06,1,economy,9426.0,989.0,10415.0,True,18:20,ok,2026-09-05T18:28:57.751654+05:30,2026-09-05_1828IST
BOM,BLR,QP,Akasa Air,QP1133,2026-09-06,1,economy,9848.0,1010.0,10858.0,True,19:40,ok,2026-09-05T18:28:57.751654+05:30,2026-09-05_1828IST
DEL,CCU,QP,Akasa Air,error,2026-09-06,1,economy,,,,False,unknown,error,2026-09-05T18:30:34.209005+05:30,2026-09-05_1830IST
BLR,HYD,QP,Akasa Air,unknown,2026-09-06,1,economy,,,,False,unknown,no_flights_or_timeout,2026-09-05T18:31:13.694686+05:30,2026-09-05_1831IST
MAA,DEL,QP,Akasa Air,error,2026-09-06,1,economy,,,,False,unknown,error,2026-09-05T18:32:48.751241+05:30,2026-09-05_1832IST
DEL,BOM,QP,Akasa Air,error,2026-09-12,7,economy,,,,False,unknown,error,2026-09-05T18:33:30.231263+05:30,2026-09-05_1833IST
DEL,BLR,QP,Akasa Air,error,2026-09-12,7,economy,,,,False,unknown,error,2026-09-05T18:34:04.510531+05:30,2026-09-05_1834IST
BOM,BLR,QP,Akasa Air,error,2026-09-12,7,economy,,,,False,unknown,error,2026-09-05T18:34:46.050133+05:30,2026-09-05_1834IST
DEL,CCU,QP,Akasa Air,error,2026-09-12,7,economy,,,,False,unknown,error,2026-09-05T18:35:25.799362+05:30,2026-09-05_1835IST
