origin,destination,carrier_code,carrier_name,flight_num,travel_date,advance_purchase_days,fare_class,base_fare,taxes_and_fees,total_fare,fare_split_estimated,departure_time,status,scraped_at,capture_run,source,source_name
DEL,BOM,QP,Akasa Air,QP 1110,2026-09-06,1,economy,,,6529.0,False,10:30,ok,2026-09-05T19:21:56.115489+05:30,GOIBIBO_RUN_20260905_192156,ota,Goibibo
DEL,BOM,QP,Akasa Air,QP 1940,2026-09-06,1,economy,,,6618.0,False,14:05,ok,2026-09-05T19:21:56.115489+05:30,GOIBIBO_RUN_20260905_192156,ota,Goibibo
DEL,BOM,6E,IndiGo,6E 6171,2026-09-06,1,economy,,,6618.0,False,05:40,ok,2026-09-05T19:21:56.115489+05:30,GOIBIBO_RUN_20260905_192156,ota,Goibibo
DEL,BOM,6E,IndiGo,6E 6328,2026-09-06,1,economy,,,6688.0,False,10:15,ok,2026-09-05T19:21:56.115489+05:30,GOIBIBO_RUN_20260905_192156,ota,Goibibo
DEL,BOM,6E,IndiGo,6E 6459,2026-09-06,1,economy,,,6750.0,False,05:55,ok,2026-09-05T19:21:56.115489+05:30,GOIBIBO_RUN_20260905_192156,ota,Goibibo
DEL,BLR,AI,Air India,AI 2815,2026-09-06,1,economy,,,10851.0,False,07:00,ok,2026-09-05T19:23:19.656602+05:30,GOIBIBO_RUN_20260905_192319,ota,Goibibo
DEL,BLR,6E,IndiGo,6E 871,2026-09-06,1,economy,,,13383.0,False,23:30,ok,2026-09-05T19:23:19.656602+05:30,GOIBIBO_RUN_20260905_192319,ota,Goibibo
DEL,BLR,QP,Akasa Air,QP 1812,2026-09-06,1,economy,,,13537.0,False,22:55,ok,2026-09-05T19:23:19.656602+05:30,GOIBIBO_RUN_20260905_192319,ota,Goibibo
DEL,BLR,QP,Akasa Air,QP 1350,2026-09-06,1,economy,,,14058.0,False,21:55,ok,2026-09-05T19:23:19.656602+05:30,GOIBIBO_RUN_20260905_192319,ota,Goibibo
DEL,BLR,6E,IndiGo,6E 846,2026-09-06,1,economy,,,14122.0,False,22:00,ok,2026-09-05T19:23:19.656602+05:30,GOIBIBO_RUN_20260905_192319,ota,Goibibo
DEL,BLR,6E,IndiGo,6E 2456,2026-09-06,1,economy,,,14197.0,False,14:55,ok,2026-09-05T19:23:19.656602+05:30,GOIBIBO_RUN_20260905_192319,ota,Goibibo
BOM,BLR,AI,Air India,AI 2603,2026-09-06,1,economy,,,6665.0,False,06:35,ok,2026-09-05T19:24:41.739205+05:30,GOIBIBO_RUN_20260905_192441,ota,Goibibo
BOM,BLR,6E,IndiGo,6E 5196,2026-09-06,1,economy,,,7584.0,False,15:25,ok,2026-09-05T19:24:41.739205+05:30,GOIBIBO_RUN_20260905_192441,ota,Goibibo
BOM,BLR,QP,Akasa Air,QP 1527,2026-09-06,1,economy,,,7807.0,False,07:35,ok,2026-09-05T19:24:41.739205+05:30,GOIBIBO_RUN_20260905_192441,ota,Goibibo
BOM,BLR,AI,Air India,AI 2410,2026-09-06,1,economy,,,7937.0,False,05:30,ok,2026-09-05T19:24:41.739205+05:30,GOIBIBO_RUN_20260905_192441,ota,Goibibo
BOM,BLR,QP,Akasa Air,QP 1516,2026-09-06,1,economy,,,8130.0,False,00:40,ok,2026-09-05T19:24:41.739205+05:30,GOIBIBO_RUN_20260905_192441,ota,Goibibo
DEL,CCU,6E,IndiGo,6E 5191,2026-09-06,1,economy,,,8032.0,False,05:00,ok,2026-09-05T19:26:01.519494+05:30,GOIBIBO_RUN_20260905_192601,ota,Goibibo
